URL handle,Title,SKU,Option1 name,Option1 value,Tags
kitchen-meat-mallet-with-stainless-steel-handle,Kitchen Meat Mallet with Stainless Steel Handle,255,Title,Default Title,"Meat Tenderizer, Silver, Black, Iron, Laminado, Plastic, Abs, Stainless steel, Minimalist, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Cooking & Baking, Everyday Use, Gifting, Wedding Season, Cooking Together, Recipes Worth Passing Down, The Housewarming, Double-sided flat and textured head; weighted design for boneless meats, cat:kitchen, cat:new-arrivals"
stainless-steel-y-vegetable-peeler,Stainless Steel Y Vegetable Peeler,258,Title,Default Title,"Vegetable Peeler, Silver, Black, Plastic, Abs, Stainless steel, Minimalist, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Thanksgiving, Cooking Together, Recipes Worth Passing Down, The Housewarming, Stainless steel and ABS plastic; straight Y-shaped blade; hanging loop., cat:kitchen, cat:new-arrivals"
stainless-steel-vertical-vegetable-peeler,Stainless Steel Vertical Vegetable Peeler,259,Title,Default Title,"Vegetable Peeler, Silver, Black, Plastic, Abs, Stainless steel, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Thanksgiving, Cooking Together, The Sunday Table, Hostess Gifts, Stainless steel blade; removes extra-thin layers, cat:kitchen, cat:new-arrivals"
stainless-steel-garlic-press,Stainless Steel Garlic Press,260,Title,Default Title,"Garlic Press, Silver, Stainless steel, Minimalist, Classic/Heritage, Scandinavian, Housewarming, Hostess Gift, Just Because, Everyday Use, Cooking & Baking, Gifting, Wedding Season, Mother's Day, Cooking Together, The Dinner Party, Recipes Worth Passing Down, Presses peeled or unpeeled garlic cloves; stainless steel construction, cat:kitchen, cat:new-arrivals, seg:first-dinner-party, seg:weeknight-ceremony"
stainless-steel-handheld-grater,Stainless Steel Handheld Grater,261,Title,Default Title,"Grater, Silver, Stainless steel, Minimalist, Organic Modern, Housewarming, Hostess Gift, Just Because, Cooking & Baking, Serving, Bar & Barware, Thanksgiving, Christmas, Wedding Season, Cooking Together, Cocktail Hour, The Host's Touch, Stainless steel construction; slim handheld profile with hanging loop, cat:kitchen, cat:new-arrivals"
black-handheld-coffee-frother-with-stand,Black Handheld Coffee Frother with Stand,329,Title,Default Title,"Handheld Frother, Black, Plastic, Metal, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Coffee & Tea, Gifting, Christmas, Mother's Day, Father's Day, The Coffee Ritual, Slow Mornings, Breakfast in Bed, Includes support stand; works in hot and cold beverages; multiuse for foam and light egg beating, cat:tabletop, cat:new-arrivals, seg:weeknight-ceremony"
stainless-steel-manual-knife-sharpener,Stainless Steel Manual Knife Sharpener,377,Title,Default Title,"Knife Sharpener, Silver, Stainless steel, Minimalist, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Father's Day, Wedding Season, Cooking Together, The Host's Touch, Open-Door Hospitality, Stainless steel construction; 10 to 15 pass sharpening action, cat:kitchen, cat:new-arrivals"
small-glass-oil-vinegar-cruet-set-5-1-fl-oz-150-ml,"Small Glass Oil & Vinegar Cruet Set, 5.1 fl oz (150 mL)",526,Title,Default Title,"Oil & Vinegar Dispenser Set, Clear, Glass, Tpe, Stainless steel, CUBO, Minimalist, Classic/Heritage, Organic Modern, Housewarming, Hostess Gift, Wedding, Everyday Use, Entertaining, Serving, Thanksgiving, Christmas, Wedding Season, The Sunday Table, The Dinner Party, The Host's Touch, Gravity spouts for cleaner pouring; clear labeled bottles in a slim metal caddy, cat:kitchen, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:the-first-kitchen, seg:the-full-table"
glass-oil-and-vinegar-cruet-set-with-salt-and-pepper-caddy,Glass Oil and Vinegar Cruet Set with Salt and Pepper Caddy,540,Title,Default Title,"Oil & Vinegar Cruet Set, Clear, Glass, Pp, Stainless steel, CUBO, Classic/Heritage, Minimalist, Mediterranean, Housewarming, Wedding, Hostess Gift, Everyday Use, Entertaining, Serving, Thanksgiving, Wedding Season, The Sunday Table, The Dinner Party, The Host's Touch, Gravity spouts for cleaner pouring; chrome-plated metal caddy keeps four condiments together., cat:kitchen, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:the-first-kitchen, seg:the-full-table"
gala-20-5-fl-oz-red-wine-glasses-set-of-4,"Gala 20.5 fl oz Red Wine Glasses, Set of 4",743,Title,Default Title,"Red Wine Glass, Clear, Glass, GALA, Classic/Heritage, Minimalist, Organic Modern, Housewarming, Wedding, Hostess Gift, Entertaining, Dinner Party, Bar & Barware, Thanksgiving, Christmas, Wedding Season, Wine Night, The Dinner Party, The Well-Set Bar, Dishwasher-safe; high-transparency glass; generous bowl for complex red wines, cat:bar-glassware, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:the-first-kitchen, seg:the-full-table"
clear-glass-shot-glasses-set-of-4,"Clear Glass Shot Glasses, Set of 4",745,Title,Default Title,"Shot Glass, Clear, Glass, Minimalist, Organic Modern, Housewarming, Hostess Gift, Birthday, Bar & Barware, Entertaining, Gifting, New Year, Father's Day, Wedding Season, Cocktail Hour, The Dinner Party, The Well-Set Bar, High-transparency glass; dishwasher safe, cat:bar-glassware, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:season-opener"
white-porcelain-ramekin-bowl-3-4-fl-oz,"White Porcelain Ramekin Bowl, 3.4 fl oz",948,Title,Default Title,"Ramekin, White, Porcelain, RAMEKIN, Classic/Heritage, Minimalist, Scandinavian, Housewarming, Hostess Gift, Self-Gift, Cooking & Baking, Serving, Everyday Use, Thanksgiving, Christmas, Wedding Season, Cooking Together, The Dinner Party, The Host's Touch, Oven-, microwave-, and dishwasher-safe porcelain, cat:tabletop, cat:new-arrivals, seg:the-full-table"
white-porcelain-ramekin-bowl-8-5-fl-oz-250-ml,"White Porcelain Ramekin Bowl, 8.5 fl oz (250 mL)",949,Title,Default Title,"Ramekin Bowl, White, Porcelain, RAMEKIN, Classic/Heritage, Minimalist, Organic Modern, Housewarming, Hostess Gift, Thank-You, Everyday Use, Serving, Cooking & Baking, Thanksgiving, Christmas, Wedding Season, The Dinner Party, The Sunday Table, Hostess Gifts, Oven-, microwave-, and dishwasher-safe porcelain., cat:tabletop, cat:new-arrivals, seg:first-dinner-party"
cube-mini-white-porcelain-dipping-dish,Cube Mini White Porcelain Dipping Dish,1012,Title,Default Title,"Sauce Dish, White, Porcelain, CUBO, Minimalist, Japandi, Organic Modern, Housewarming, Hostess Gift, Thank-You, Everyday Use, Entertaining, Serving, Thanksgiving, Wedding Season, The Dinner Party, The Host's Touch, The Art of the Table, Porcelain; dishwasher-safe; microwave-safe, cat:tabletop, cat:new-arrivals, seg:the-full-table"
galeon-medium-white-porcelain-serving-bowl,Galeon Medium White Porcelain Serving Bowl,1018,Title,Default Title,"Serving Bowl, White, Porcelain, GALEON, Organic Modern, Japandi, Minimalist, Housewarming, Wedding, Hostess Gift, Serving, Entertaining, Everyday Use, Thanksgiving, Wedding Season, The Sunday Table, The Dinner Party, Hostess Gifts, Microwave- and dishwasher-safe porcelain serving bowl; 18.6 fl oz (550 mL) capacity., cat:tabletop, cat:new-arrivals"
gala-clear-stemless-wine-glasses-16-1-fl-oz-set-of-4,"Gala Clear Stemless Wine Glasses, 16.1 fl oz, Set of 4",1038,Title,Default Title,"Stemless Wine Glass, Clear, Glass, GALA, Minimalist, Organic Modern, Classic/Heritage, Housewarming, Wedding, Hostess Gift, Everyday Use, Bar & Barware, Entertaining, Wedding Season, Christmas, New Year, Wine Night, Cocktail Hour, The Dinner Party, Dishwasher-safe clear glass; set of 4; designed for complex red wines., cat:bar-glassware, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:season-opener, seg:the-first-kitchen, seg:the-full-table"
clear-martini-glasses-set-of-4,"Clear Martini Glasses, Set of 4",1039,Title,Default Title,"Martini Glass, Clear, Glass, Minimalist, Classic/Heritage, Housewarming, Wedding, Hostess Gift, Cocktail Hour, Bar & Barware, Entertaining, New Year, Wedding Season, Christmas, The Nightcap, The Well-Set Bar, Dishwasher-safe; 10.8 fl oz capacity; clear glass with exceptional clarity, cat:bar-glassware, cat:gifts, cat:new-arrivals, seg:season-opener"
clear-margarita-glasses-set-of-4,Clear Margarita Glasses Set of 4,1040,Title,Default Title,"Margarita Glass, Clear, Glass, Classic/Heritage, Minimalist, Coastal, Housewarming, Wedding, Hostess Gift, Bar & Barware, Cocktail Hour, Entertaining, New Year, Wedding Season, The Dinner Party, The Well-Set Bar, Dishwasher-safe clear glass; generous 15.9 fl oz (470 mL) capacity, cat:bar-glassware, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:season-opener"
stainless-steel-wing-corkscrew-wine-opener,Stainless Steel Wing Corkscrew Wine Opener,1114,Title,Default Title,"Wing Corkscrew, Silver, Stainless steel, Minimalist, Classic/Heritage, Housewarming, Wedding, Hostess Gift, Bar & Barware, Entertaining, Gifting, Wedding Season, Christmas, Father's Day, Wine Night, Cocktail Hour, The Well-Set Bar, Stainless steel; self-aligning wing action; built-in bottle opener; soft-touch grip, cat:bar-glassware, cat:new-arrivals, seg:season-opener"
white-porcelain-butter-dish-with-lid,White Porcelain Butter Dish with Lid,1191,Title,Default Title,"Butter Dish, White, Porcelain, Minimalist, Scandinavian, Classic/Heritage, Housewarming, Hostess Gift, Just Because, Everyday Use, Entertaining, Serving, Thanksgiving, Christmas, Mother's Day, Slow Mornings, The Sunday Table, The Host's Touch, Dishwasher-safe and microwave-safe porcelain, cat:tabletop, cat:new-arrivals"
stainless-steel-winged-corkscrew-with-bottle-opener,Stainless Steel Winged Corkscrew with Bottle Opener,1256,Title,Default Title,"Winged Corkscrew, Silver, Caucho, Stainless steel, Minimalist, Classic/Heritage, Housewarming, Hostess Gift, Self-Gift, Bar & Barware, Entertaining, Gifting, Christmas, Father's Day, Wedding Season, Wine Night, The Dinner Party, The Well-Set Bar, Built-in bottle opener; rubber-grip wings, cat:bar-glassware, cat:new-arrivals, seg:someone-in-mind"
cube-small-sauce-bottle-with-pour-spout,Cube Small Sauce Bottle with Pour Spout,1357,Title,Default Title,"Sauce Bottle, Clear, Silver, Glass, Tpe, Stainless steel, CUBO, Minimalist, Organic Modern, Scandinavian, Housewarming, Hostess Gift, Thank-You, Everyday Use, Serving, Entertaining, Wedding Season, Cooking Together, The Host's Touch, The Art of the Table, Airtight TPE stopper; controlled stainless steel pour spout, cat:kitchen, cat:new-arrivals"
stainless-steel-wine-stopper-pourer,Stainless Steel Wine Stopper Pourer,1738,Title,Default Title,"Wine Pourer/Stopper, Black, Silver, Plastic, Stainless steel, Minimalist, Bauhaus, Scandinavian, Hostess Gift, Housewarming, Thank-You, Bar & Barware, Entertaining, Gifting, Thanksgiving, Christmas, New Year, Wine Night, The Dinner Party, Hostess Gifts, Two-in-one pourer and stopper; drip-free lever pour for short-term storage., cat:bar-glassware, cat:new-arrivals, seg:someone-in-mind"
white-porcelain-cake-stand-11-2-in-28-5-cm,"White Porcelain Cake Stand, 11.2 in (28.5 cm)",2125,Title,Default Title,"Cake Stand, White, Porcelain, Classic/Heritage, Minimalist, Scandinavian, Housewarming, Wedding, Hostess Gift, Serving, Entertaining, Gifting, Wedding Season, The Sunday Table, Weekend Gatherings, Hostess Gifts, Porcelain; dishwasher- and microwave-safe; gently raised rim, cat:tabletop, cat:new-arrivals, seg:the-first-kitchen"
white-porcelain-soup-bowl-with-handle-16-9-fl-oz-500-ml,"White Porcelain Soup Bowl with Handle, 16.9 fl oz (500 mL)",2126,Title,Default Title,"Soup Bowl, White, Porcelain, Classic/Heritage, Minimalist, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Entertaining, Serving, Thanksgiving, Christmas, Slow Evenings, The Sunday Table, The Host's Touch, Microwave- and dishwasher-safe porcelain; side handle for secure carrying., cat:tabletop, cat:new-arrivals"
pasantes-porcelain-mini-serving-bowl-0-85-fl-oz-25-ml,"Pasantes Porcelain Mini Serving Bowl, 0.85 fl oz (25 mL)",2223,Title,Default Title,"Mini Bowl, White, Porcelain, Minimalist, Scandinavian, Classic/Heritage, Housewarming, Hostess Gift, Thank-You, Serving, Entertaining, Gifting, Thanksgiving, Christmas, Wedding Season, The Dinner Party, Weekend Brunch, The Host's Touch, White porcelain; microwave- and dishwasher-safe, cat:tabletop, cat:new-arrivals, seg:someone-in-mind, seg:the-full-table"
white-porcelain-personal-butter-dish-with-lid,White Porcelain Personal Butter Dish with Lid,2244,Title,Default Title,"Butter Dish, White, Porcelain, Classic/Heritage, Minimalist, Scandinavian, Housewarming, Wedding, Hostess Gift, Everyday Use, Entertaining, Serving, Thanksgiving, Christmas, Wedding Season, Slow Mornings, Candlelit Dinners, The Host's Touch, Microwave- and dishwasher-safe porcelain, cat:tabletop, cat:new-arrivals, seg:the-first-kitchen"
clear-2-oz-tequila-shot-glasses-set-of-4,"Clear 2 oz Tequila Shot Glasses, Set of 4",2260,Title,Default Title,"Shot Glass, Clear, Glass, Minimalist, Bauhaus, Classic/Heritage, Housewarming, Hostess Gift, Thank-You, Bar & Barware, Entertaining, Gifting, New Year, Cocktail Hour, The Well-Set Bar, Hostess Gifts, Dishwasher-safe glass with a heavy, balanced base., cat:bar-glassware, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:season-opener, seg:someone-in-mind"
chrome-silver-iron-wire-spiral-napkin-ring,Chrome Silver Iron Wire Spiral Napkin Ring,2606,Title,Default Title,"Napkin Ring, Silver, Alambre, Iron, ALUMINIO PLATEADO, Organic Modern, Minimalist, Scandinavian, Housewarming, Wedding, Hostess Gift, Entertaining, Dinner Party, Gifting, Thanksgiving, Christmas, Wedding Season, The Dinner Party, The Art of the Table, Hostess Gifts, Chrome-finished iron wire; wipe-clean dry-cloth care, cat:tabletop, cat:new-arrivals, seg:the-full-table"
chrome-iron-wire-plate-rack-organizer,Chrome Iron Wire Plate Rack Organizer,2628,Title,Default Title,"Plate Rack, Silver, Alambre, Iron, ALUMINIO PLATEADO, Minimalist, Scandinavian, Organic Modern, Housewarming, Thank-You, Self-Gift, Everyday Use, Serving, Gifting, Wedding Season, Graduation Season, Cooking Together, The Host's Touch, Everyday Beauty, 100% iron wire; compact chrome-finished frame for organizing and air-drying plates., cat:kitchen, cat:new-arrivals"
silicone-wine-glass-charms-set-of-12,"Silicone Wine Glass Charms, Set of 12",2651,Title,Default Title,"Wine Glass Charms, Multicolor, Silicone, Bauhaus, Minimalist, Organic Modern, Housewarming, Hostess Gift, Thank-You, Entertaining, Cocktail Hour, Bar & Barware, Thanksgiving, Christmas, New Year, Wine Night, The Dinner Party, Flexible silicone; attaches to stems or rims; storage holder included, cat:bar-glassware, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:season-opener"
white-porcelain-vinegar-cruet-3-4-fl-oz,"White Porcelain Vinegar Cruet, 3.4 fl oz",2670,Title,Default Title,"Vinegar Cruet, White, Porcelain, Minimalist, Classic/Heritage, Scandinavian, Housewarming, Hostess Gift, Thank-You, Everyday Use, Entertaining, Serving, Thanksgiving, The Sunday Table, The Dinner Party, The Host's Touch, Dishwasher- and microwave-safe porcelain; long slim spout with lid for controlled, drip-resistant pouring., cat:tabletop, cat:new-arrivals"
apetice-mini-porcelain-sauce-bowl-with-handle-1-fl-oz,"Apetice Mini Porcelain Sauce Bowl with Handle, 1 fl oz",2671,Title,Default Title,"Mini Sauce Bowl, White, Porcelain, Classic/Heritage, Minimalist, Scandinavian, Hostess Gift, Housewarming, Thank-You, Serving, Entertaining, Gifting, Thanksgiving, Christmas, The Host's Touch, The Art of the Table, Cocktail Hour, Dishwasher- and microwave-safe porcelain; nonporous surface resists odors and flavors., cat:tabletop, cat:new-arrivals, seg:someone-in-mind, seg:the-full-table"
venice-white-porcelain-sauce-dish-2-4-fl-oz-70-ml,"Venice White Porcelain Sauce Dish, 2.4 fl oz (70 mL)",2675,Title,Default Title,"Sauce Dish, White, Porcelain, Classic/Heritage, Minimalist, Scandinavian, Housewarming, Hostess Gift, Wedding, Everyday Use, Serving, Entertaining, Thanksgiving, Christmas, Wedding Season, The Dinner Party, The Host's Touch, Everyday Celebrations, Microwave- and dishwasher-safe; porcelain resists odors and flavors., cat:tabletop, cat:new-arrivals, seg:the-full-table"
verena-white-porcelain-mug-13-5-fl-oz,"Verena White Porcelain Mug, 13.5 fl oz",2684,Title,Default Title,"Coffee Mug, White, Porcelain, Minimalist, Scandinavian, Japandi, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Coffee & Tea, Gifting, Christmas, Mother's Day, Graduation Season, Slow Mornings, The Coffee Ritual, The Tea Ritual, Porcelain; microwave-safe; dishwasher-safe, cat:tabletop, cat:new-arrivals"
porcelain-individual-butter-dish-white,"Porcelain Individual Butter Dish, White",2690,Title,Default Title,"Butter Dish, White, Porcelain, Minimalist, Classic/Heritage, Scandinavian, Housewarming, Wedding, Hostess Gift, Everyday Use, Entertaining, Serving, Thanksgiving, Christmas, Wedding Season, The Sunday Table, The Dinner Party, The Host's Touch, Microwave-safe and dishwasher-safe porcelain., cat:tabletop, cat:new-arrivals, seg:the-full-table"
onata-white-porcelain-sauce-dish,Onata White Porcelain Sauce Dish,2694,Title,Default Title,"Sauce Dish, White, Porcelain, Minimalist, Japandi, Scandinavian, Housewarming, Hostess Gift, Thank-You, Everyday Use, Entertaining, Serving, Thanksgiving, Christmas, Wedding Season, The Dinner Party, The Host's Touch, Everyday Celebrations, Microwave- and dishwasher-safe porcelain; compact individual portion size., cat:tabletop, cat:new-arrivals, seg:the-full-table"
white-porcelain-moka-spoon,White Porcelain Moka Spoon,2697,Title,Default Title,"Coffee Spoon, White, Porcelain, Minimalist, Classic/Heritage, Japandi, Housewarming, Hostess Gift, Thank-You, Coffee & Tea, Serving, Entertaining, Mother's Day, Wedding Season, The Coffee Ritual, The Tea Ritual, The Host's Touch, Microwave- and dishwasher-safe., cat:tabletop, cat:new-arrivals, seg:weeknight-ceremony"
small-plastic-cutting-board-with-handle-white-black,"Small Plastic Cutting Board with Handle, White/Black",2741,Title,Default Title,"Cutting Board, White, Black, Plastic, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Wedding Season, Cooking Together, The Overnight Guest, Open-Door Hospitality, Compact prep size; easy-grip handle opening; hand-wash care, cat:kitchen, cat:new-arrivals"
plastic-cutting-board-with-handle-white-and-black,"Plastic Cutting Board with Handle, White and Black",2742,Title,Default Title,"Cutting Board, White, Black, Plastic, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Thanksgiving, Christmas, Wedding Season, Cooking Together, The Sunday Table, Open-Door Hospitality, Built-in handle; slim 0.4 in (1 cm) profile, cat:kitchen, cat:new-arrivals"
bettina-clear-acrylic-salt-shaker,Bettina Clear Acrylic Salt Shaker,2793,Title,Default Title,"Salt Shaker, Clear, Acrylic, Abs, Stainless steel, BETTINA, Minimalist, Classic/Heritage, Organic Modern, Housewarming, Hostess Gift, Just Because, Everyday Use, Serving, Gifting, The Sunday Table, Cooking Together, The Host's Touch, Clear fill-level view; adjustable mill-style top; refillable design, cat:tabletop, cat:new-arrivals"
bettina-clear-acrylic-pepper-mill-with-ceramic-grinder,Bettina Clear Acrylic Pepper Mill with Ceramic Grinder,2794,Title,Default Title,"Pepper Mill, Clear, Acrylic, Abs, Ceramic, Copper, Aluminum, Stainless steel, BETTINA, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Thank-You, Everyday Use, Entertaining, Serving, Thanksgiving, Christmas, Wedding Season, The Dinner Party, The Host's Touch, Everyday Celebrations, Clear acrylic body; ceramic grinder, cat:tabletop, cat:new-arrivals, seg:the-full-table"
white-porcelain-sauce-dish-1-9-fl-oz,"White Porcelain Sauce Dish, 1.9 fl oz",3045,Title,Default Title,"Sauce Dish, White, Porcelain, Minimalist, Scandinavian, Classic/Heritage, Housewarming, Hostess Gift, Just Because, Everyday Use, Entertaining, Serving, Thanksgiving, Christmas, Candlelit Dinners, Cocktail Hour, The Host's Touch, Porcelain that does not absorb odors or flavors; microwave- and dishwasher-safe., cat:tabletop, cat:new-arrivals"
white-porcelain-mortar-pestle-2-8-in-7-cm,"White Porcelain Mortar & Pestle, 2.8 in (7 cm)",3046,Title,Default Title,"Mortar & Pestle, White, Porcelain, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Christmas, Thanksgiving, Wedding Season, Cooking Together, The Dinner Party, Hostess Gifts, Non-porous porcelain; microwave-, dishwasher-, and oven-safe to 356°F (180°C)., cat:kitchen, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:weeknight-ceremony"
small-white-porcelain-egg-cup,Small White Porcelain Egg Cup,3050,Title,Default Title,"Egg Cup, White, Porcelain, Minimalist, Scandinavian, Classic/Heritage, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Coffee & Tea, Gifting, Easter, Mother's Day, Slow Mornings, Breakfast in Bed, The Tea Ritual, Microwave-safe; dishwasher-safe; non-porous porcelain resists odors and flavors., cat:tabletop, cat:new-arrivals, seg:weeknight-ceremony"
fixed-base-stainless-steel-paper-towel-holder,Fixed Base Stainless Steel Paper Towel Holder,3110,Title,Default Title,"Paper Towel Holder, Silver, Black, Plastic, Abs, Policloruro, Vinilo, Stainless steel, Minimalist, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Entertaining, Coffee & Tea, Thanksgiving, Christmas, Cooking Together, The Coffee Ritual, The Host's Touch, Stainless steel frame; fixed base for controlled tearing; helps keep rolls aligned and prevents unspooling, cat:kitchen, cat:new-arrivals, seg:first-dinner-party, seg:weeknight-ceremony"
blow-acrylic-short-tumbler-clear,"Blow Acrylic Short Tumbler, Clear",3119,Title,Default Title,"Short Tumbler, Clear, Acrylic, BLOW, Minimalist, Coastal, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Outdoor & Patio, Bar & Barware, Entertaining, Fourth of July, Outdoor Living, Poolside, Cocktail Hour, 100% acrylic; top-rack dishwasher safe, cat:outdoor, cat:new-arrivals, seg:season-opener"
blow-clear-acrylic-white-wine-glass-15-2-fl-oz,"Blow Clear Acrylic White Wine Glass, 15.2 fl oz",3124,Title,Default Title,"White Wine Glass, Clear, Acrylic, BLOW, Minimalist, Coastal, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Outdoor & Patio, Bar & Barware, Entertaining, Fourth of July, Wedding Season, Outdoor Living, Poolside, Cocktail Hour, 100% acrylic; top-rack dishwasher-safe; clear stemmed 15.2 fl oz (450 mL) capacity, cat:outdoor, cat:new-arrivals, seg:season-opener"
